1644515896478	PolyGesture	InputEvent	SelectionChanged 436 436

1644515896495	PolyGesture	InputEvent	BeginBatchEdit

1644515896506	PolyGesture	InputEvent	BeginBatchEdit

1644515896708	PolyGesture	InputEvent	BeginBatchEdit

1644515896709	PolyGesture	InputEvent	BeginBatchEdit

1644515896727	PolyGesture	InputEvent	BeginBatchEdit

1644515897318	PolyGesture	InputEvent	BeginBatchEdit

1644515897335	PolyGesture	InputEvent	SelectionChanged 0 0

1644515897337	PolyGesture	TaskCompleted	Cancella carattere in 11"397 seconds (at 90091469, effective time: 10"464)

***************************************


1644515897344	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1644515897349	PolyGesture	InputEvent	SelectionChanged 435 435

1644515897350	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1644515897355	PolyGesture	InputEvent	SelectionChanged 435 435

1644515897367	PolyGesture	InputEvent	BeginBatchEdit

1644515897397	PolyGesture	InputEvent	BeginBatchEdit

1644515897397	PolyGesture	InputEvent	BeginBatchEdit

1644515897415	PolyGesture	InputEvent	BeginBatchEdit

1644515897416	PolyGesture	InputEvent	BeginBatchEdit

1644515897418	PolyGesture	InputEvent	BeginBatchEdit

1644515897418	PolyGesture	InputEvent	BeginBatchEdit

1644515897420	PolyGesture	InputEvent	BeginBatchEdit

1644515897422	PolyGesture	InputEvent	BeginBatchEdit

1644515897423	PolyGesture	InputEvent	BeginBatchEdit

1644515897423	PolyGesture	InputEvent	BeginBatchEdit

1644515897437	PolyGesture	InputEvent	BeginBatchEdit

1644515897626	PolyGesture	InputEvent	BeginBatchEdit

1644515897628	PolyGesture	InputEvent	BeginBatchEdit

1644515898455	PolyGesture	InputEvent	BeginBatchEdit

1644515898469	PolyGesture	InputEvent	BeginBatchEdit

1644515899117	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=90093246, downTime=90093246, deviceId=-1, source=0x101, displayId=0 }

1644515899121	PolyGesture	InputEvent	BeginBatchEdit

1644515899157	PolyGesture	InputEvent	WindowFocusChanged false

1644515899186	PolyGesture	InputEvent	BeginBatchEdit

1644515899186	PolyGesture	InputEvent	BeginBatchEdit

1644515900058	PolyGesture	InputEvent	SelectionChanged 0 0

1644515900059	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644515900117	PolyGesture	InputEvent	SelectionChanged 0 0

1644515900118	PolyGesture	InputEvent	SelectionChanged 0 0

1644515900118	PolyGesture	TaskStarted	Cancella parola

1644515900118	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1644515900122	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1644515900125	PolyGesture	InputEvent	SelectionChanged 534 534

1644515900141	PolyGesture	InputEvent	FocusChanged true 130 null

1644515900159	PolyGesture	InputEvent	WindowFocusChanged true

