1644166887584	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to bewhen he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 513 513

1644166887589	PolyGesture	InputEvent	SelectionChanged 311 311

1644166887590	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to bewhen he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 311 1 0

1644166887594	PolyGesture	InputEvent	SelectionChanged 311 311

1644166887601	PolyGesture	InputEvent	BeginBatchEdit

1644166887605	PolyGesture	InputEvent	BeginBatchEdit

1644166887608	PolyGesture	InputEvent	BeginBatchEdit

1644166887608	PolyGesture	InputEvent	BeginBatchEdit

1644166887626	PolyGesture	InputEvent	BeginBatchEdit

1644166887629	PolyGesture	InputEvent	BeginBatchEdit

1644166887629	PolyGesture	InputEvent	BeginBatchEdit

1644166887630	PolyGesture	InputEvent	BeginBatchEdit

1644166887632	PolyGesture	InputEvent	BeginBatchEdit

1644166887633	PolyGesture	InputEvent	BeginBatchEdit

1644166887634	PolyGesture	InputEvent	BeginBatchEdit

1644166887634	PolyGesture	InputEvent	BeginBatchEdit

1644166887835	PolyGesture	InputEvent	BeginBatchEdit

1644166887837	PolyGesture	InputEvent	BeginBatchEdit

1644166888462	PolyGesture	InputEvent	BeginBatchEdit

1644166888470	PolyGesture	InputEvent	SelectionChanged 0 0

1644166888473	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1644166888480	PolyGesture	InputEvent	SelectionChanged 312 312

1644166888481	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 311 0 1

1644166888486	PolyGesture	InputEvent	SelectionChanged 312 312

1644166888499	PolyGesture	InputEvent	BeginBatchEdit

1644166888501	PolyGesture	InputEvent	BeginBatchEdit

1644166888502	PolyGesture	InputEvent	BeginBatchEdit

1644166888503	PolyGesture	InputEvent	BeginBatchEdit

1644166888518	PolyGesture	InputEvent	BeginBatchEdit

1644166888518	PolyGesture	InputEvent	BeginBatchEdit

1644166888519	PolyGesture	InputEvent	BeginBatchEdit

1644166888519	PolyGesture	InputEvent	BeginBatchEdit

1644166888529	PolyGesture	InputEvent	BeginBatchEdit

1644166888529	PolyGesture	InputEvent	BeginBatchEdit

1644166888531	PolyGesture	InputEvent	BeginBatchEdit

1644166888533	PolyGesture	InputEvent	BeginBatchEdit

1644166888534	PolyGesture	InputEvent	BeginBatchEdit

1644166888535	PolyGesture	InputEvent	BeginBatchEdit

1644166888555	PolyGesture	InputEvent	BeginBatchEdit

1644166888556	PolyGesture	InputEvent	BeginBatchEdit

1644166888558	PolyGesture	InputEvent	BeginBatchEdit

1644166888559	PolyGesture	InputEvent	BeginBatchEdit

1644166888575	PolyGesture	InputEvent	BeginBatchEdit

1644166888575	PolyGesture	InputEvent	BeginBatchEdit

1644166888762	PolyGesture	InputEvent	BeginBatchEdit

1644166888764	PolyGesture	InputEvent	BeginBatchEdit

1644166889257	PolyGesture	InputEvent	TouchEvent (cursorPosition=312): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=918.0, y[0]=417.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32907983, downTime=32907983, deviceId=4, source=0x1002, displayId=0 }
1644166889333	PolyGesture	InputEvent	TouchEvent (cursorPosition=312): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=918.0, y[0]=417.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32908060, downTime=32907983, deviceId=4, source=0x1002, displayId=0 }
1644166889342	PolyGesture	InputEvent	SelectionChanged 435 435

1644166889360	PolyGesture	InputEvent	BeginBatchEdit

1644166889385	PolyGesture	InputEvent	BeginBatchEdit

1644166889591	PolyGesture	InputEvent	BeginBatchEdit

1644166889592	PolyGesture	InputEvent	BeginBatchEdit

1644166889612	PolyGesture	InputEvent	BeginBatchEdit

1644166890249	PolyGesture	InputEvent	SelectionChanged 436 436

1644166890265	PolyGesture	InputEvent	BeginBatchEdit

1644166890273	PolyGesture	InputEvent	BeginBatchEdit

1644166890473	PolyGesture	InputEvent	BeginBatchEdit

1644166890475	PolyGesture	InputEvent	BeginBatchEdit

1644166891199	PolyGesture	InputEvent	BeginBatchEdit

1644166891220	PolyGesture	InputEvent	SelectionChanged 0 0

1644166891224	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXltle village where he had been so often lately was that no one knew who he was.' 0 515 515

1644166891231	PolyGesture	InputEvent	SelectionChanged 437 437

1644166891233	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXltle village where he had been so often lately was that no one knew who he was.' 436 0 1

1644166891238	PolyGesture	InputEvent	SelectionChanged 437 437

1644166891246	PolyGesture	InputEvent	BeginBatchEdit

1644166891251	PolyGesture	InputEvent	BeginBatchEdit

1644166891251	PolyGesture	InputEvent	BeginBatchEdit

1644166891268	PolyGesture	InputEvent	BeginBatchEdit

1644166891268	PolyGesture	InputEvent	BeginBatchEdit

1644166891270	PolyGesture	InputEvent	BeginBatchEdit

1644166891273	PolyGesture	InputEvent	BeginBatchEdit

1644166891274	PolyGesture	InputEvent	BeginBatchEdit

1644166891274	PolyGesture	InputEvent	BeginBatchEdit

1644166891275	PolyGesture	InputEvent	BeginBatchEdit

1644166891276	PolyGesture	InputEvent	BeginBatchEdit

1644166891277	PolyGesture	InputEvent	BeginBatchEdit

1644166891477	PolyGesture	InputEvent	BeginBatchEdit

1644166891479	PolyGesture	InputEvent	BeginBatchEdit

1644166891747	PolyGesture	InputEvent	BeginBatchEdit

1644166891752	PolyGesture	InputEvent	SelectionChanged 0 0

1644166891753	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1644166891757	PolyGesture	InputEvent	SelectionChanged 436 436

1644166891757	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 436 1 0

1644166891761	PolyGesture	InputEvent	SelectionChanged 436 436

1644166891772	PolyGesture	InputEvent	BeginBatchEdit

1644166891774	PolyGesture	InputEvent	BeginBatchEdit

1644166891775	PolyGesture	InputEvent	BeginBatchEdit

1644166891791	PolyGesture	InputEvent	BeginBatchEdit

1644166891791	PolyGesture	InputEvent	BeginBatchEdit

