1647350126618	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1647350126624	PolyGesture	InputEvent	SelectionChanged 103 103

1647350126626	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1647350126629	PolyGesture	InputEvent	SelectionChanged 103 103

1647350126639	PolyGesture	InputEvent	BeginBatchEdit

1647350126645	PolyGesture	InputEvent	BeginBatchEdit

1647350126645	PolyGesture	InputEvent	BeginBatchEdit

1647350126652	PolyGesture	InputEvent	BeginBatchEdit

1647350126655	PolyGesture	InputEvent	BeginBatchEdit

1647350126660	PolyGesture	InputEvent	BeginBatchEdit

1647350126665	PolyGesture	InputEvent	BeginBatchEdit

1647350126866	PolyGesture	InputEvent	BeginBatchEdit

1647350127424	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=776.0, y[0]=358.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430279375, downTime=430279375, deviceId=6, source=0x1002, displayId=0 }
1647350127732	PolyGesture	InputEvent	SelectionChanged 257 263

1647350127747	PolyGesture	InputEvent	BeginBatchEdit

1647350127750	PolyGesture	InputEvent	BeginBatchEdit

1647350127951	PolyGesture	InputEvent	BeginBatchEdit

1647350127980	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=776.0, y[0]=358.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430279940, downTime=430279375, deviceId=6, source=0x1002, displayId=0 }
1647350129278	PolyGesture	InputEvent	BeginBatchEdit

1647350129307	PolyGesture	InputEvent	SelectionChanged 263 263

1647350129320	PolyGesture	InputEvent	SelectionChanged 0 0

1647350129324	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1647350129328	PolyGesture	InputEvent	SelectionChanged 257 257

1647350129330	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 257 6 0

1647350129334	PolyGesture	InputEvent	SelectionChanged 257 257

1647350129347	PolyGesture	InputEvent	BeginBatchEdit

1647350129353	PolyGesture	InputEvent	BeginBatchEdit

1647350129353	PolyGesture	InputEvent	BeginBatchEdit

1647350129361	PolyGesture	InputEvent	BeginBatchEdit

1647350129364	PolyGesture	InputEvent	BeginBatchEdit

1647350129370	PolyGesture	InputEvent	BeginBatchEdit

1647350129373	PolyGesture	InputEvent	BeginBatchEdit

1647350129575	PolyGesture	InputEvent	BeginBatchEdit

1647350130435	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=789.0, y[0]=584.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430282383, downTime=430282383, deviceId=6, source=0x1002, displayId=0 }
1647350130744	PolyGesture	InputEvent	SelectionChanged 441 447

1647350130764	PolyGesture	InputEvent	BeginBatchEdit

1647350130767	PolyGesture	InputEvent	BeginBatchEdit

1647350130967	PolyGesture	InputEvent	BeginBatchEdit

1647350131010	PolyGesture	InputEvent	TouchEvent (cursorPosition=441): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=789.0, y[0]=584.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430282969, downTime=430282383, deviceId=6, source=0x1002, displayId=0 }
1647350132074	PolyGesture	InputEvent	BeginBatchEdit

1647350132098	PolyGesture	InputEvent	SelectionChanged 447 447

1647350132110	PolyGesture	InputEvent	SelectionChanged 0 0

1647350132113	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little 
 village where he had been so often lately was that no one knew who he was.' 0 517 517

1647350132117	PolyGesture	InputEvent	SelectionChanged 442 442

1647350132118	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little 
 village where he had been so often lately was that no one knew who he was.' 441 6 1

1647350132122	PolyGesture	InputEvent	SelectionChanged 442 442

1647350132133	PolyGesture	InputEvent	BeginBatchEdit

1647350132138	PolyGesture	InputEvent	BeginBatchEdit

1647350132139	PolyGesture	InputEvent	BeginBatchEdit

1647350132145	PolyGesture	InputEvent	BeginBatchEdit

1647350132148	PolyGesture	InputEvent	BeginBatchEdit

1647350132149	PolyGesture	InputEvent	BeginBatchEdit

1647350132151	PolyGesture	InputEvent	BeginBatchEdit

1647350132352	PolyGesture	InputEvent	BeginBatchEdit

1647350138095	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=430290049, downTime=430290049, deviceId=-1, source=0x101, displayId=0 }

1647350138098	PolyGesture	InputEvent	BeginBatchEdit

1647350138144	PolyGesture	InputEvent	WindowFocusChanged false

1647350138174	PolyGesture	InputEvent	BeginBatchEdit

1647350138175	PolyGesture	InputEvent	BeginBatchEdit

1647350142122	PolyGesture	InputEvent	SelectionChanged 0 0

1647350142123	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647350142129	PolyGesture	InputEvent	SelectionChanged 0 0

1647350142130	PolyGesture	InputEvent	SelectionChanged 0 0

1647350142131	PolyGesture	TaskStarted	Cancella parola

