1647595870398	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=309.0, y[0]=126.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598361027, downTime=598360958, deviceId=6, source=0x1002, displayId=0 }
1647595870406	PolyGesture	InputEvent	SelectionChanged 108 108

1647595870436	PolyGesture	InputEvent	BeginBatchEdit

1647595870436	PolyGesture	InputEvent	BeginBatchEdit

1647595870448	PolyGesture	InputEvent	BeginBatchEdit

1647595870462	PolyGesture	InputEvent	BeginBatchEdit

1647595870672	PolyGesture	InputEvent	BeginBatchEdit

1647595870674	PolyGesture	InputEvent	BeginBatchEdit

1647595870693	PolyGesture	InputEvent	BeginBatchEdit

1647595871347	PolyGesture	InputEvent	SelectionChanged 109 109

1647595871361	PolyGesture	InputEvent	BeginBatchEdit

1647595871374	PolyGesture	InputEvent	BeginBatchEdit

1647595871576	PolyGesture	InputEvent	BeginBatchEdit

1647595871577	PolyGesture	InputEvent	BeginBatchEdit

1647595873173	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=172.0, y[0]=134.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598363801, downTime=598363801, deviceId=6, source=0x1002, displayId=0 }
1647595873227	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=172.0, y[0]=134.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598363856, downTime=598363801, deviceId=6, source=0x1002, displayId=0 }
1647595873245	PolyGesture	InputEvent	SelectionChanged 103 103

1647595873248	PolyGesture	InputEvent	SelectionChanged 109 103

1647595873265	PolyGesture	InputEvent	BeginBatchEdit

1647595873269	PolyGesture	InputEvent	BeginBatchEdit

1647595873270	PolyGesture	InputEvent	BeginBatchEdit

1647595873273	PolyGesture	InputEvent	BeginBatchEdit

1647595873473	PolyGesture	InputEvent	BeginBatchEdit

1647595873476	PolyGesture	InputEvent	BeginBatchEdit

1647595873502	PolyGesture	InputEvent	BeginBatchEdit

1647595874381	PolyGesture	InputEvent	BeginBatchEdit

1647595874383	PolyGesture	InputEvent	SelectionChanged 109 109

1647595874409	PolyGesture	InputEvent	SelectionChanged 0 0

1647595874413	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1647595874420	PolyGesture	InputEvent	SelectionChanged 103 103

1647595874422	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1647595874426	PolyGesture	InputEvent	SelectionChanged 103 103

1647595874440	PolyGesture	InputEvent	BeginBatchEdit

1647595874445	PolyGesture	InputEvent	BeginBatchEdit

1647595874446	PolyGesture	InputEvent	BeginBatchEdit

1647595874455	PolyGesture	InputEvent	BeginBatchEdit

1647595874459	PolyGesture	InputEvent	BeginBatchEdit

1647595874461	PolyGesture	InputEvent	BeginBatchEdit

1647595874464	PolyGesture	InputEvent	BeginBatchEdit

1647595874665	PolyGesture	InputEvent	BeginBatchEdit

1647595875142	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=862.0, y[0]=320.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598365763, downTime=598365763, deviceId=6, source=0x1002, displayId=0 }
1647595875216	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=862.0, y[0]=320.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598365845, downTime=598365763, deviceId=6, source=0x1002, displayId=0 }
1647595875224	PolyGesture	InputEvent	SelectionChanged 263 263

1647595875246	PolyGesture	InputEvent	BeginBatchEdit

1647595875287	PolyGesture	InputEvent	BeginBatchEdit

1647595875493	PolyGesture	InputEvent	BeginBatchEdit

1647595875495	PolyGesture	InputEvent	BeginBatchEdit

1647595875518	PolyGesture	InputEvent	BeginBatchEdit

1647595876210	PolyGesture	InputEvent	TouchEvent (cursorPosition=263): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=678.0, y[0]=310.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598366830, downTime=598366830, deviceId=6, source=0x1002, displayId=0 }
