1644485043824	PolyGesture	InputEvent	TouchEvent (cursorPosition=102): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=858.0, y[0]=365.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60732014, downTime=60732014, deviceId=6, source=0x1002, displayId=0 }
1644485043864	PolyGesture	InputEvent	TouchEvent (cursorPosition=102): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=858.0, y[0]=365.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60732062, downTime=60732014, deviceId=6, source=0x1002, displayId=0 }
1644485043875	PolyGesture	InputEvent	SelectionChanged 262 262

1644485043893	PolyGesture	InputEvent	BeginBatchEdit

1644485043913	PolyGesture	InputEvent	BeginBatchEdit

1644485044121	PolyGesture	InputEvent	BeginBatchEdit

1644485044123	PolyGesture	InputEvent	BeginBatchEdit

1644485044143	PolyGesture	InputEvent	BeginBatchEdit

1644485044585	PolyGesture	InputEvent	BeginBatchEdit

1644485044604	PolyGesture	InputEvent	SelectionChanged 0 0

1644485044606	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 526 526

1644485044614	PolyGesture	InputEvent	SelectionChanged 261 261

