1644484884443	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1644484884453	PolyGesture	InputEvent	SelectionChanged 257 257

1644484884454	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 257 6 0

1644484884460	PolyGesture	InputEvent	SelectionChanged 257 257

1644484884475	PolyGesture	InputEvent	BeginBatchEdit

1644484884479	PolyGesture	InputEvent	BeginBatchEdit

1644484884480	PolyGesture	InputEvent	BeginBatchEdit

1644484884485	PolyGesture	InputEvent	BeginBatchEdit

1644484884490	PolyGesture	InputEvent	BeginBatchEdit

1644484884492	PolyGesture	InputEvent	BeginBatchEdit

1644484884493	PolyGesture	InputEvent	BeginBatchEdit

1644484884694	PolyGesture	InputEvent	BeginBatchEdit

1644484885299	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=205.0, y[0]=404.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60573488, downTime=60573488, deviceId=6, source=0x1002, displayId=0 }
1644484885352	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=205.0, y[0]=404.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60573550, downTime=60573488, deviceId=6, source=0x1002, displayId=0 }
1644484885364	PolyGesture	InputEvent	SelectionChanged 448 448

1644484885394	PolyGesture	InputEvent	BeginBatchEdit

1644484885418	PolyGesture	InputEvent	BeginBatchEdit

1644484885628	PolyGesture	InputEvent	BeginBatchEdit

1644484885629	PolyGesture	InputEvent	BeginBatchEdit

1644484885651	PolyGesture	InputEvent	BeginBatchEdit

1644484886001	PolyGesture	InputEvent	SelectionChanged 447 447

1644484886014	PolyGesture	InputEvent	BeginBatchEdit

1644484886029	PolyGesture	InputEvent	BeginBatchEdit

1644484886231	PolyGesture	InputEvent	BeginBatchEdit

1644484886232	PolyGesture	InputEvent	BeginBatchEdit

1644484886254	PolyGesture	InputEvent	BeginBatchEdit

1644484887307	PolyGesture	InputEvent	TouchEvent (cursorPosition=447): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=154.0, y[0]=396.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60575504, downTime=60575504, deviceId=6, source=0x1002, displayId=0 }
1644484887403	PolyGesture	InputEvent	TouchEvent (cursorPosition=447): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=154.0, y[0]=396.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60575601, downTime=60575504, deviceId=6, source=0x1002, displayId=0 }
1644484887420	PolyGesture	InputEvent	SelectionChanged 445 445

1644484887422	PolyGesture	InputEvent	SelectionChanged 447 445

1644484887442	PolyGesture	InputEvent	BeginBatchEdit

1644484887445	PolyGesture	InputEvent	BeginBatchEdit

