1647340698162	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 521 521

1647340698169	PolyGesture	InputEvent	SelectionChanged 256 256

1647340698171	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 256 6 0

1647340698175	PolyGesture	InputEvent	SelectionChanged 256 256

1647340698188	PolyGesture	InputEvent	BeginBatchEdit

1647340698193	PolyGesture	InputEvent	BeginBatchEdit

1647340698194	PolyGesture	InputEvent	BeginBatchEdit

1647340698201	PolyGesture	InputEvent	BeginBatchEdit

1647340698204	PolyGesture	InputEvent	BeginBatchEdit

1647340698209	PolyGesture	InputEvent	BeginBatchEdit

1647340698212	PolyGesture	InputEvent	BeginBatchEdit

1647340698413	PolyGesture	InputEvent	BeginBatchEdit

1647340698455	PolyGesture	InputEvent	BeginBatchEdit

1647340698463	PolyGesture	InputEvent	SelectionChanged 0 0

1647340698466	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 520 520

1647340698474	PolyGesture	InputEvent	SelectionChanged 255 255

1647340698475	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 255 1 0

1647340698479	PolyGesture	InputEvent	SelectionChanged 255 255

1647340698489	PolyGesture	InputEvent	BeginBatchEdit

1647340698495	PolyGesture	InputEvent	BeginBatchEdit

1647340698496	PolyGesture	InputEvent	BeginBatchEdit

1647340698503	PolyGesture	InputEvent	BeginBatchEdit

1647340698505	PolyGesture	InputEvent	BeginBatchEdit

1647340698507	PolyGesture	InputEvent	BeginBatchEdit

1647340698509	PolyGesture	InputEvent	BeginBatchEdit

1647340698711	PolyGesture	InputEvent	BeginBatchEdit

1647340699113	PolyGesture	InputEvent	TouchEvent (cursorPosition=255): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=879.0, y[0]=506.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422688304, downTime=422688304, deviceId=6, source=0x1002, displayId=0 }
1647340699165	PolyGesture	InputEvent	TouchEvent (cursorPosition=255): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=879.0, y[0]=506.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422688365, downTime=422688304, deviceId=6, source=0x1002, displayId=0 }
1647340699172	PolyGesture	InputEvent	SelectionChanged 446 446

1647340699194	PolyGesture	InputEvent	BeginBatchEdit

1647340699228	PolyGesture	InputEvent	BeginBatchEdit

1647340699420	PolyGesture	InputEvent	BeginBatchEdit

1647340699887	PolyGesture	InputEvent	TouchEvent (cursorPosition=446): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=867.0, y[0]=503.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422689077, downTime=422689077, deviceId=6, source=0x1002, displayId=0 }
1647340699967	PolyGesture	InputEvent	TouchEvent (cursorPosition=446): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=867.0, y[0]=503.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422689167, downTime=422689077, deviceId=6, source=0x1002, displayId=0 }
1647340699982	PolyGesture	InputEvent	SelectionChanged 445 445

1647340700007	PolyGesture	InputEvent	BeginBatchEdit

1647340700041	PolyGesture	InputEvent	BeginBatchEdit

1647340700233	PolyGesture	InputEvent	BeginBatchEdit

