1647341089131	PolyGesture	InputEvent	SelectionChanged 255 255

1647341089139	PolyGesture	InputEvent	BeginBatchEdit

1647341089145	PolyGesture	InputEvent	BeginBatchEdit

1647341089145	PolyGesture	InputEvent	BeginBatchEdit

1647341089152	PolyGesture	InputEvent	BeginBatchEdit

1647341089154	PolyGesture	InputEvent	BeginBatchEdit

1647341089156	PolyGesture	InputEvent	BeginBatchEdit

1647341089159	PolyGesture	InputEvent	BeginBatchEdit

1647341089360	PolyGesture	InputEvent	BeginBatchEdit

1647341089878	PolyGesture	InputEvent	TouchEvent (cursorPosition=255): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=791.0, y[0]=575.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423079069, downTime=423079069, deviceId=6, source=0x1002, displayId=0 }
1647341090186	PolyGesture	InputEvent	SelectionChanged 439 445

1647341090202	PolyGesture	InputEvent	BeginBatchEdit

1647341090206	PolyGesture	InputEvent	BeginBatchEdit

1647341090406	PolyGesture	InputEvent	BeginBatchEdit

1647341090461	PolyGesture	InputEvent	TouchEvent (cursorPosition=439): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=791.0, y[0]=575.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423079661, downTime=423079069, deviceId=6, source=0x1002, displayId=0 }
1647341091007	PolyGesture	InputEvent	BeginBatchEdit

1647341091031	PolyGesture	InputEvent	SelectionChanged 445 445

1647341091045	PolyGesture	InputEvent	SelectionChanged 0 0

1647341091047	PolyGesture	TaskCompleted	Cancella parola in 6"609 seconds (at 423080248, effective time: 5"554)

***************************************


