1644603465607	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXis Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 259 1 0

1644603465613	PolyGesture	InputEvent	SelectionChanged 259 259

1644603465624	PolyGesture	InputEvent	BeginBatchEdit

1644603465626	PolyGesture	InputEvent	BeginBatchEdit

1644603465626	PolyGesture	InputEvent	BeginBatchEdit

1644603465637	PolyGesture	InputEvent	BeginBatchEdit

1644603465637	PolyGesture	InputEvent	BeginBatchEdit

1644603465638	PolyGesture	InputEvent	BeginBatchEdit

1644603465638	PolyGesture	InputEvent	BeginBatchEdit

1644603465646	PolyGesture	InputEvent	BeginBatchEdit

1644603465648	PolyGesture	InputEvent	BeginBatchEdit

1644603465649	PolyGesture	InputEvent	BeginBatchEdit

1644603465649	PolyGesture	InputEvent	BeginBatchEdit

1644603465650	PolyGesture	InputEvent	BeginBatchEdit

1644603465850	PolyGesture	InputEvent	BeginBatchEdit

1644603465851	PolyGesture	InputEvent	BeginBatchEdit

1644603466074	PolyGesture	InputEvent	BeginBatchEdit

1644603466079	PolyGesture	InputEvent	SelectionChanged 0 0

