1644605223138	PolyGesture	InputEvent	BeginBatchEdit

1644605223140	PolyGesture	InputEvent	BeginBatchEdit

1644605223142	PolyGesture	InputEvent	BeginBatchEdit

1644605223142	PolyGesture	InputEvent	BeginBatchEdit

1644605223144	PolyGesture	InputEvent	BeginBatchEdit

1644605223161	PolyGesture	InputEvent	BeginBatchEdit

1644605223164	PolyGesture	InputEvent	BeginBatchEdit

1644605223165	PolyGesture	InputEvent	BeginBatchEdit

1644605223166	PolyGesture	InputEvent	BeginBatchEdit

1644605223197	PolyGesture	InputEvent	BeginBatchEdit

1644605223216	PolyGesture	InputEvent	BeginBatchEdit

1644605223219	PolyGesture	InputEvent	BeginBatchEdit

1644605223222	PolyGesture	InputEvent	BeginBatchEdit

1644605223229	PolyGesture	InputEvent	SelectionChanged 0 0

1644605223231	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 532 532

1644605223237	PolyGesture	InputEvent	SelectionChanged 107 107

1644605223238	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 5 4

1644605223243	PolyGesture	InputEvent	SelectionChanged 107 107

1644605223256	PolyGesture	InputEvent	BeginBatchEdit

1644605223258	PolyGesture	InputEvent	BeginBatchEdit

1644605223260	PolyGesture	InputEvent	BeginBatchEdit

1644605223260	PolyGesture	InputEvent	BeginBatchEdit

1644605223280	PolyGesture	InputEvent	BeginBatchEdit

1644605223280	PolyGesture	InputEvent	BeginBatchEdit

1644605223281	PolyGesture	InputEvent	BeginBatchEdit

1644605223282	PolyGesture	InputEvent	BeginBatchEdit

1644605223311	PolyGesture	InputEvent	BeginBatchEdit

1644605223311	PolyGesture	InputEvent	BeginBatchEdit

1644605223313	PolyGesture	InputEvent	BeginBatchEdit

1644605223314	PolyGesture	InputEvent	BeginBatchEdit

1644605223315	PolyGesture	InputEvent	BeginBatchEdit

1644605223316	PolyGesture	InputEvent	BeginBatchEdit

1644605223337	PolyGesture	InputEvent	BeginBatchEdit

1644605223338	PolyGesture	InputEvent	BeginBatchEdit

1644605223340	PolyGesture	InputEvent	BeginBatchEdit

1644605223341	PolyGesture	InputEvent	BeginBatchEdit

1644605223372	PolyGesture	InputEvent	BeginBatchEdit

1644605223373	PolyGesture	InputEvent	BeginBatchEdit

1644605223374	PolyGesture	InputEvent	BeginBatchEdit

1644605223376	PolyGesture	InputEvent	BeginBatchEdit

1644605223378	PolyGesture	InputEvent	BeginBatchEdit

1644605223383	PolyGesture	InputEvent	SelectionChanged 0 0

1644605223385	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 531 531

1644605223391	PolyGesture	InputEvent	SelectionChanged 106 106

1644605223392	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 4 3

1644605223397	PolyGesture	InputEvent	SelectionChanged 106 106

1644605223410	PolyGesture	InputEvent	BeginBatchEdit

1644605223414	PolyGesture	InputEvent	BeginBatchEdit

1644605223415	PolyGesture	InputEvent	BeginBatchEdit

1644605223416	PolyGesture	InputEvent	BeginBatchEdit

1644605223436	PolyGesture	InputEvent	BeginBatchEdit

1644605223437	PolyGesture	InputEvent	BeginBatchEdit

1644605223438	PolyGesture	InputEvent	BeginBatchEdit

